Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,55.101,406.089,1019.08,51.1323,429.852,1189.05,54.4353,398.496,1459.24,-52.4307,438.387,1346.99
2,0,55.1113,406.055,1019.07,51.0739,429.781,1189,54.4411,398.62,1459.15,-52.4906,438.353,1346.91
3,0,55.1375,406.033,1019.06,51.0457,429.67,1188.96,54.4617,398.684,1459.07,-52.5404,438.261,1346.83
4,0,55.2075,406.011,1019.06,51.0544,429.544,1188.93,54.4905,398.702,1459.01,-52.5616,438.097,1346.8
5,0,55.2507,405.97,1019.09,51.0637,429.338,1188.92,54.5446,398.68,1458.96,-52.5611,437.894,1346.76
6,0,55.2994,405.988,1019.12,51.076,429.153,1188.93,54.5995,398.605,1458.93,-52.5316,437.663,1346.75
7,0,55.311,405.969,1019.18,51.0797,428.944,1188.98,54.6575,398.476,1458.94,-52.5005,437.371,1346.77
8,0,55.3649,405.988,1019.28,51.0934,428.726,1189.06,54.7432,398.283,1458.97,-52.4562,437.025,1346.81
9,0,55.4483,406.028,1019.41,51.1248,428.452,1189.17,54.7975,398.054,1459.04,-52.4794,436.707,1346.9
10,0,55.4693,406.07,1019.57,51.187,428.155,1189.3,54.9183,397.696,1459.1,-52.4394,436.294,1347
11,0,55.4961,406.127,1019.72,51.2483,427.831,1189.48,55.0338,397.264,1459.18,-52.3439,435.73,1347.12
12,0,55.5494,406.238,1019.9,51.2649,427.491,1189.68,55.1573,396.741,1459.28,-52.3391,435.188,1347.31
13,0,55.5792,406.442,1020.13,51.2725,427.141,1189.93,55.278,396.172,1459.45,-52.3235,434.604,1347.54
14,0,55.6163,406.72,1020.34,51.3004,426.778,1190.19,55.3913,395.437,1459.63,-52.2142,433.824,1347.79
15,0,55.6723,407.038,1020.55,51.3791,426.35,1190.51,55.4909,394.647,1459.85,-52.186,433.11,1348.11
16,0,55.6486,407.46,1020.78,51.4224,425.975,1190.93,55.5746,393.749,1460.08,-52.1116,432.259,1348.43
17,0,55.605,407.883,1021.02,51.4323,425.606,1191.4,55.6621,392.685,1460.32,-52.1146,431.42,1348.83
18,0,55.5783,408.371,1021.32,51.5109,425.214,1191.87,55.762,391.496,1460.69,-52.0855,430.347,1349.34
19,0,55.5073,408.942,1021.67,51.5786,424.764,1192.47,55.8033,390.207,1461.07,-52.0508,429.344,1349.88
20,0,55.3838,409.539,1022.05,51.5635,424.317,1193.08,55.8745,388.773,1461.51,-52.0716,428.198,1350.43
21,0,55.2686,410.118,1022.39,51.5641,423.912,1193.76,55.957,387.209,1461.94,-52.0493,426.927,1351.11
22,0,55.1227,410.932,1022.68,51.5525,423.436,1194.51,55.9878,385.508,1462.42,-52.0681,425.612,1351.76
23,0,55.0303,411.617,1023.01,51.5674,422.903,1195.28,56.0454,383.662,1462.93,-52.0339,424.24,1352.5
24,0,54.8781,412.53,1023.48,51.5599,422.417,1196.09,56.026,381.691,1463.47,-52.0467,422.714,1353.28
25,0,54.7888,413.393,1023.92,51.4883,421.905,1196.96,56.0671,379.573,1464.04,-52.0565,421.126,1354.09
26,0,54.6372,414.393,1024.35,51.4949,421.343,1197.91,55.9875,377.255,1464.65,-52.0994,419.409,1354.94
27,0,54.5027,415.453,1024.89,51.454,420.805,1198.85,55.9475,374.766,1465.28,-52.1246,417.605,1355.83
28,0,54.3857,416.504,1025.43,51.3759,420.257,1199.91,55.9176,372.116,1465.9,-52.1961,415.679,1356.78
29,0,54.2311,417.702,1026,51.3393,419.649,1201.02,55.7843,369.258,1466.59,-52.2983,413.646,1357.71
