Joints
100
,,Ben_Johnston:World_Lower,,,,,,Ben_Johnston:World_Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-2.05819,-0.558724,1037.46,6.28639,-6.73324,1148.9,-12.6323,-10.9458,1404.79,9.99934,100.418,1331.6
2,0,-2.24702,-0.727905,1037.52,6.05207,-6.85033,1148.95,-12.9032,-11.0409,1404.82,9.16016,100.06,1331.61
3,0,-2.42539,-0.896339,1037.62,5.80696,-6.96339,1149,-13.1985,-11.1199,1404.84,8.07904,99.4853,1331.4
4,0,-2.60531,-1.06644,1037.73,5.54737,-7.0487,1149.06,-13.539,-11.2229,1404.85,7.81956,99.4187,1331.37
5,0,-2.79732,-1.2891,1037.84,5.21252,-7.19278,1149.12,-13.874,-11.3158,1404.88,8.15302,99.7301,1331.63
6,0,-2.99287,-1.5459,1037.96,4.85221,-7.34401,1149.17,-14.2234,-11.3914,1404.89,8.2223,99.8194,1331.67
7,0,-3.18904,-1.82052,1038.1,4.51983,-7.48393,1149.24,-14.627,-11.4681,1404.92,7.23172,99.4997,1331.68
8,0,-3.38643,-2.09087,1038.31,4.20163,-7.59028,1149.33,-15.1285,-11.5768,1404.95,6.16067,99.0156,1331.46
9,0,-3.57541,-2.37221,1038.57,3.75098,-7.76498,1149.41,-15.589,-11.6721,1404.99,6.27276,99.3346,1331.77
10,0,-3.76008,-2.66713,1038.86,3.26628,-7.96588,1149.53,-16.1175,-11.7437,1405.01,5.54991,99.1617,1331.74
11,0,-3.94463,-3.01687,1039.18,2.87825,-8.12784,1149.65,-16.7729,-11.8666,1405.05,5.0235,99.1255,1331.82
12,0,-4.08017,-3.43717,1039.54,2.39876,-8.35412,1149.82,-17.3801,-11.9472,1405.11,4.82252,99.1988,1331.7
13,0,-4.15344,-3.87161,1039.94,1.85059,-8.64205,1150.03,-18.1636,-12.1238,1405.2,2.80596,98.4436,1331.74
14,0,-4.17309,-4.26152,1040.41,1.40214,-8.93651,1150.32,-18.9746,-12.2595,1405.34,2.51084,98.673,1332.14
15,0,-4.15454,-4.62192,1040.87,0.938723,-9.27206,1150.67,-19.9251,-12.4266,1405.51,1.00216,98.0685,1332.17
16,0,-4.09555,-5.05851,1041.27,0.528229,-9.59758,1151.07,-20.9393,-12.5682,1405.73,-0.182768,97.7141,1332.31
17,0,-3.90639,-5.51182,1041.72,0.0920607,-9.98615,1151.53,-22.1224,-12.7645,1405.99,-0.391315,97.9666,1332.76
