Joints
100
,,Ben_Johnston:World_Lower,,,,,,Ben_Johnston:World_Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-40.3229,2.70583,1028.69,-26.6144,-5.36856,1136.29,-43.5295,-3.58028,1399.02,-19.5922,106.443,1326.31
2,0,-40.3885,2.63315,1028.68,-26.7107,-5.46562,1136.28,-43.6103,-3.52715,1399.01,-19.5605,106.483,1326.18
3,0,-40.4471,2.63102,1028.69,-26.7924,-5.54399,1136.29,-43.6845,-3.45168,1398.99,-19.6147,106.518,1326.08
4,0,-40.5127,2.66274,1028.71,-26.885,-5.59108,1136.32,-43.7634,-3.35595,1399,-19.667,106.581,1326.04
5,0,-40.5868,2.71332,1028.78,-26.9912,-5.60514,1136.36,-43.8566,-3.24502,1399.02,-19.736,106.675,1326.02
6,0,-40.6748,2.8145,1028.88,-27.1173,-5.59343,1136.44,-43.9674,-3.09356,1399.04,-20.3037,106.466,1325.54
7,0,-40.7434,2.9678,1029,-27.2403,-5.5254,1136.54,-44.091,-2.91379,1399.07,-19.6313,107.144,1326.03
8,0,-40.7999,3.18918,1029.13,-27.3572,-5.40819,1136.67,-44.242,-2.67469,1399.11,-19.8674,107.395,1326
9,0,-40.8559,3.55037,1029.35,-27.4668,-5.21548,1136.82,-44.4024,-2.29496,1399.17,-20.2249,107.706,1325.98
10,0,-40.9537,4.04711,1029.6,-27.5871,-4.94221,1136.97,-44.5812,-1.88004,1399.23,-20.0806,108.199,1325.8
11,0,-41.049,4.60392,1029.89,-27.7276,-4.54889,1137.17,-44.7542,-1.43202,1399.31,-21.8539,108.068,1325.78
12,0,-41.1744,5.26574,1030.18,-27.8527,-4.05538,1137.37,-44.9538,-0.80233,1399.39,-21.8333,109.021,1325.98
13,0,-41.3702,6.07314,1030.49,-27.9815,-3.44791,1137.59,-45.1471,-0.106869,1399.48,-22.0326,109.981,1325.76
14,0,-41.5668,6.88269,1030.81,-28.1366,-2.66047,1137.77,-45.3626,0.759161,1399.58,-23.8248,110.348,1325.92
15,0,-41.7085,7.75055,1031.15,-28.2987,-1.80613,1137.91,-45.5357,1.74323,1399.68,-23.9735,111.882,1326.25
16,0,-41.8114,8.76128,1031.45,-28.5054,-0.712432,1138,-45.6685,2.94562,1399.75,-25.8237,112.656,1326.07
17,0,-41.9255,9.68425,1031.64,-28.7393,0.518659,1138.09,-45.7441,4.31233,1399.81,-26.259,114.587,1326.33
18,0,-42.0961,10.7743,1031.78,-28.9936,1.9145,1138.2,-45.8239,5.8599,1399.83,-27.5194,116.197,1326.31
