Joints
100
,,Ben_Johnston:World_Lower,,,,,,Ben_Johnston:World_Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
45,0,4.1012,-8.48259,1029.91,21.9139,-10.1047,1153.45,0.748162,-8.60285,1401.26,20.8227,102.388,1326.01
46,0,3.98306,-8.56789,1029.92,21.7857,-10.182,1153.45,0.633878,-8.67051,1401.25,20.4557,102.2,1325.99
47,0,3.88838,-8.66868,1029.9,21.6754,-10.2619,1153.44,0.495676,-8.73612,1401.23,20.236,102.092,1325.99
48,0,3.80902,-8.77007,1029.88,21.5803,-10.3434,1153.42,0.335772,-8.79575,1401.22,20.1084,102.037,1325.95
49,0,3.76137,-8.89705,1029.85,21.4942,-10.4321,1153.42,0.147072,-8.87225,1401.22,19.9913,101.987,1325.95
50,0,3.72108,-9.01762,1029.85,21.4063,-10.523,1153.46,-0.0504602,-8.93604,1401.24,19.7736,101.889,1326
51,0,3.7,-9.12156,1029.84,21.3169,-10.5974,1153.51,-0.248068,-8.99999,1401.27,19.8627,101.921,1326.05
52,0,3.69018,-9.22644,1029.85,21.2127,-10.6936,1153.58,-0.457197,-9.07333,1401.32,20.2454,102.261,1326.34
53,0,3.67765,-9.327,1029.86,21.1084,-10.8122,1153.67,-0.676298,-9.16778,1401.38,20.1127,102.202,1326.37
54,0,3.67913,-9.41934,1029.89,20.9854,-10.9478,1153.76,-0.922352,-9.27198,1401.45,19.6784,101.963,1326.35
55,0,3.68438,-9.50395,1029.95,20.8368,-11.0675,1153.86,-1.22136,-9.37796,1401.54,19.1601,101.616,1326.3
56,0,3.69443,-9.58453,1030.04,20.6789,-11.1855,1154,-1.5339,-9.48019,1401.65,18.5709,101.395,1326.42
57,0,3.72978,-9.6675,1030.14,20.5244,-11.2888,1154.17,-1.89667,-9.61719,1401.79,18.3455,101.327,1326.57
58,0,3.77255,-9.74709,1030.25,20.3856,-11.3734,1154.37,-2.22771,-9.74122,1401.93,18.2573,101.318,1326.77
59,0,3.82505,-9.82964,1030.34,20.2628,-11.4287,1154.55,-2.55063,-9.83698,1402.06,18.2235,101.331,1326.72
60,0,3.89545,-9.91556,1030.43,20.1346,-11.4749,1154.77,-2.93422,-9.93561,1402.2,18.2527,101.559,1327.49
61,0,3.9579,-10.0182,1030.52,19.9993,-11.5592,1154.96,-3.36428,-10.0758,1402.35,17.8279,101.404,1327.67
62,0,3.99859,-10.1227,1030.62,19.8546,-11.6508,1155.15,-3.78001,-10.1885,1402.52,16.7194,100.773,1327.68
63,0,4.03299,-10.2083,1030.75,19.7287,-11.7584,1155.36,-4.12569,-10.2869,1402.68,16.569,100.743,1327.84
