Joints
100
,,Ben_Johnston:World_Lower,,,,,,Ben_Johnston:World_Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-83.7603,39.7355,1046.23,-94.5783,34.682,1158.83,-147.62,13.6484,1407.61,-190.782,118.849,1338.87
2,0,-82.2316,40.5796,1046.6,-93.9335,34.4415,1160.3,-149.921,9.97152,1408.57,-192.457,116.022,1340.63
3,0,-80.5825,41.4341,1047.06,-93.318,34.1995,1161.93,-152.469,6.00887,1409.43,-194.511,112.978,1342.5
4,0,-78.7884,42.4002,1047.59,-92.5684,33.8606,1163.73,-155.201,1.83092,1410.3,-196.455,109.724,1344.44
5,0,-76.8887,43.3642,1048.22,-91.8812,33.5331,1165.61,-158.144,-2.61099,1411,-198.763,106.327,1346.34
6,0,-74.8773,44.3761,1048.95,-91.1715,33.0411,1167.58,-161.242,-7.3475,1411.58,-201.229,102.633,1348.24
7,0,-72.6334,45.48,1049.65,-90.4787,32.5325,1169.6,-164.561,-12.3795,1411.97,-203.842,98.7105,1350.07
8,0,-70.157,46.6588,1050.47,-89.7428,31.902,1171.66,-168.093,-17.6579,1412.15,-206.59,94.6459,1351.78
9,0,-67.4989,47.8466,1051.37,-89.0126,31.2398,1173.77,-171.759,-23.2081,1412.08,-209.493,90.2557,1353.36
10,0,-64.926,49.0896,1052.38,-88.2677,30.4352,1175.95,-175.668,-29.182,1411.68,-212.558,85.6268,1354.61
11,0,-62.2468,50.3337,1053.36,-87.5641,29.5128,1178.14,-179.787,-35.3547,1410.92,-215.848,80.7001,1355.81
12,0,-59.4877,51.6082,1054.43,-86.8995,28.5115,1180.35,-184.159,-41.8998,1409.79,-219.39,75.525,1356.65
13,0,-56.5791,52.8298,1055.44,-86.3021,27.3949,1182.49,-188.755,-48.747,1408.16,-223.193,70.208,1357.18
14,0,-53.4825,54.091,1056.47,-85.7662,26.1459,1184.57,-193.624,-55.8481,1406.04,-227.246,64.5443,1357.36
15,0,-50.3559,55.292,1057.55,-85.3197,24.6956,1186.63,-198.757,-63.1197,1403.35,-231.506,58.7341,1357.17
16,0,-47.1141,56.5026,1058.6,-84.9696,23.0587,1188.56,-204.13,-70.4426,1400.1,-236.1,52.7241,1356.54
17,0,-44.0657,57.5171,1059.68,-84.4644,21.3661,1190.26,-209.721,-77.894,1396.18,-241.177,46.4323,1355.41
18,0,-41.0695,58.418,1060.73,-84.512,19.6233,1191.53,-215.262,-85.2831,1391.71,-246.141,40.1325,1353.57
