Joints
100
,,Ben_Johnston:World_Lower,,,,,,Ben_Johnston:World_Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-86.7997,-84.8356,1029.91,-92.0978,-98.2637,1141.67,-119.849,-102.466,1395.63,-21.8877,-37.8448,1328.62
2,0,-86.7228,-84.847,1030.27,-92.4251,-97.6355,1142.19,-120.694,-100.992,1396.05,-22.5982,-36.6273,1329
3,0,-86.6366,-84.8795,1030.66,-92.7428,-97.1768,1142.74,-121.618,-99.4415,1396.55,-23.3822,-35.3274,1329.47
4,0,-86.4897,-84.9243,1031.07,-93.0079,-96.7373,1143.39,-122.611,-97.7511,1397.11,-24.2596,-33.9948,1330.04
5,0,-86.2874,-85.0085,1031.52,-93.27,-96.2765,1144.15,-123.699,-95.9246,1397.74,-25.0935,-32.5979,1330.67
6,0,-86.037,-85.1349,1031.98,-93.5267,-95.8652,1144.94,-124.864,-93.9215,1398.42,-25.992,-31.0602,1331.3
7,0,-85.753,-85.3093,1032.45,-93.7274,-95.4974,1145.8,-126.125,-91.7885,1399.15,-27.045,-29.4007,1331.99
8,0,-85.4352,-85.5873,1033.01,-93.9362,-95.1585,1146.7,-127.496,-89.5442,1399.96,-28.0334,-27.7993,1332.79
9,0,-85.0492,-85.9516,1033.56,-94.13,-94.7939,1147.65,-128.947,-87.0808,1400.8,-29.1251,-25.9724,1333.61
10,0,-84.6252,-86.2865,1034.07,-94.3156,-94.475,1148.73,-130.539,-84.4902,1401.74,-30.3217,-24.0738,1334.49
11,0,-84.1813,-86.7448,1034.7,-94.4843,-94.1766,1149.82,-132.235,-81.717,1402.68,-31.5728,-21.988,1335.5
12,0,-83.6558,-87.2358,1035.3,-94.6489,-93.8482,1150.96,-134.042,-78.8214,1403.63,-32.9659,-19.8188,1336.53
13,0,-83.0028,-87.7293,1035.98,-94.7924,-93.4635,1152.21,-135.924,-75.8,1404.57,-34.4269,-17.3672,1337.57
14,0,-82.3081,-88.354,1036.72,-94.9063,-93.0914,1153.53,-137.933,-72.5298,1405.54,-35.7489,-15.1114,1338.72
15,0,-81.5999,-89.0496,1037.45,-95.0431,-92.8592,1154.91,-140.12,-69.1667,1406.54,-37.4152,-12.4636,1339.89
16,0,-80.773,-89.7314,1038.28,-95.1921,-92.4953,1156.39,-142.424,-65.5358,1407.52,-39.1382,-9.68348,1341.15
17,0,-79.9153,-90.5249,1039.13,-95.3087,-92.2901,1157.86,-144.856,-61.7543,1408.41,-40.8474,-6.92247,1342.33
