Joints
100
,,Ben_Johnston:World_Lower,,,,,,Ben_Johnston:World_Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-21.6422,33.7654,1041.86,-26.5028,36.8464,1148.58,-49.0962,41.1273,1401.83,-102.615,138.631,1325.91
2,0,-21.6076,34.2865,1042.05,-26.797,36.8811,1148.89,-49.7252,40.2368,1402.04,-103.428,137.903,1326.4
3,0,-21.4912,34.7623,1042.25,-27.0594,36.9262,1149.24,-50.7646,39.1258,1402.39,-104.21,137.087,1326.92
4,0,-21.3413,35.2353,1042.47,-27.2901,37.0111,1149.68,-51.4659,38.1882,1402.79,-105.2,136.177,1327.71
5,0,-21.1056,35.7826,1042.7,-27.4753,37.0976,1150.21,-52.6164,36.9778,1403.23,-106.114,135.365,1328.37
6,0,-20.7903,36.4221,1042.99,-27.6545,37.2371,1150.79,-53.4502,35.9376,1403.8,-107.214,134.35,1329.26
7,0,-20.4914,37.0114,1043.28,-27.7871,37.3857,1151.49,-54.9869,34.3807,1404.38,-108.513,133.217,1330.19
8,0,-20.0279,37.6868,1043.57,-27.9015,37.592,1152.21,-56.2434,32.9339,1405.05,-109.46,132.243,1331.34
9,0,-19.575,38.5312,1043.89,-27.9971,37.8736,1153.01,-57.6762,31.3444,1405.79,-111.242,130.754,1332.41
10,0,-19.0367,39.3454,1044.24,-28.0722,38.1897,1153.88,-59.1454,29.6506,1406.54,-112.83,129.422,1333.59
11,0,-18.3755,40.2426,1044.61,-28.1071,38.5401,1154.83,-60.7835,27.8113,1407.4,-114.51,127.875,1334.94
12,0,-17.7359,41.2446,1045,-28.1438,38.9001,1155.87,-62.5497,25.8058,1408.27,-116.317,126.296,1336.45
13,0,-16.9541,42.2041,1045.44,-28.2015,39.2675,1156.99,-64.4398,23.658,1409.18,-118.123,124.574,1337.89
14,0,-16.1407,43.3301,1045.93,-28.255,39.6598,1158.23,-66.5,21.3453,1410.1,-120.059,122.767,1339.54
15,0,-15.2343,44.4289,1046.47,-28.2313,40.0492,1159.58,-68.5934,18.9225,1411.11,-122.279,120.798,1341.22
16,0,-14.2721,45.6193,1047.09,-28.1304,40.4714,1161.06,-70.8925,16.2266,1412.05,-124.417,118.658,1342.99
17,0,-13.1681,46.8992,1047.76,-28.0621,40.8128,1162.6,-73.3137,13.3455,1413.03,-126.742,116.377,1344.77
18,0,-11.9857,48.264,1048.42,-27.919,41.1813,1164.21,-75.8495,10.2722,1413.99,-129.24,113.867,1346.58
