Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,31.3848,395.261,1016.67,35.4227,421.909,1189.95,40.8054,374.596,1459.29,-66.8585,421.026,1350.12
2,0,31.3558,395.258,1016.67,35.404,421.806,1190,40.8055,374.449,1459.34,-66.8513,420.871,1350.17
3,0,31.3243,395.24,1016.7,35.3413,421.701,1190.07,40.7998,374.31,1459.39,-66.8754,420.679,1350.22
4,0,31.2967,395.228,1016.72,35.2739,421.575,1190.15,40.8252,374.162,1459.42,-66.9276,420.449,1350.32
5,0,31.2608,395.211,1016.73,35.1932,421.465,1190.24,40.815,373.949,1459.49,-66.9331,420.181,1350.38
6,0,31.2116,395.246,1016.74,35.1297,421.29,1190.34,40.8612,373.752,1459.55,-66.9858,419.945,1350.46
7,0,31.1785,395.284,1016.73,35.029,421.152,1190.48,40.8356,373.54,1459.63,-67.0493,419.653,1350.56
8,0,31.147,395.324,1016.73,34.8989,420.99,1190.61,40.8382,373.255,1459.71,-67.1764,419.355,1350.71
9,0,31.1425,395.376,1016.74,34.8126,420.816,1190.76,40.8352,372.983,1459.82,-67.2435,419.008,1350.86
10,0,31.1494,395.487,1016.76,34.7181,420.624,1190.95,40.8187,372.687,1459.94,-67.305,418.609,1351.01
11,0,31.1461,395.582,1016.77,34.5699,420.441,1191.15,40.8061,372.316,1460.1,-67.371,418.119,1351.21
12,0,31.1449,395.733,1016.84,34.4275,420.251,1191.34,40.7662,371.929,1460.25,-67.5093,417.66,1351.4
13,0,31.1053,395.904,1016.93,34.2612,420.063,1191.58,40.7161,371.504,1460.44,-67.6608,417.171,1351.64
14,0,31.1342,396.109,1017.04,34.0669,419.855,1191.92,40.6405,370.944,1460.63,-67.7298,416.567,1351.9
