Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,35.7522,418.126,1017.73,53.3475,459.058,1210.8,55.5523,422.84,1454.41,-47.6468,477.965,1342.05
2,0,35.7961,418.161,1017.8,53.3057,458.734,1211,55.4787,422.487,1454.51,-47.6739,477.591,1342.15
3,0,35.916,418.231,1017.88,53.3052,458.439,1211.18,55.4054,422.025,1454.63,-47.7405,477.207,1342.28
4,0,35.9752,418.325,1018.01,53.2539,458.016,1211.48,55.2779,421.519,1454.77,-47.8614,476.762,1342.46
5,0,36.101,418.447,1018.19,53.1686,457.556,1211.79,55.0763,420.962,1454.99,-47.9188,476.124,1342.68
6,0,36.2346,418.628,1018.41,53.0949,457.06,1212.16,54.9206,420.284,1455.27,-48.1089,475.522,1342.97
7,0,36.362,418.872,1018.71,53.0452,456.575,1212.62,54.6413,419.503,1455.61,-48.3076,474.863,1343.31
8,0,36.4683,419.169,1019.11,52.9535,456.069,1213.15,54.349,418.607,1456.02,-48.4472,473.988,1343.71
9,0,36.6002,419.559,1019.56,52.9062,455.605,1213.73,54.0312,417.563,1456.48,-48.7801,473.243,1344.22
10,0,36.729,420.08,1020.01,52.8404,455.162,1214.5,53.6293,416.411,1457,-49.0249,472.176,1344.77
11,0,36.8356,420.703,1020.48,52.7243,454.786,1215.29,53.1982,415.125,1457.59,-49.4422,471.173,1345.39
12,0,36.9513,421.415,1020.98,52.5345,454.196,1216.19,52.6261,413.738,1458.23,-49.8561,469.993,1346.15
13,0,37.0779,422.294,1021.41,52.3743,453.693,1217.12,52.0258,412.199,1458.87,-50.4002,468.797,1346.91
14,0,37.2538,423.177,1021.84,52.1769,453.259,1218.16,51.343,410.511,1459.61,-50.9278,467.543,1347.79
15,0,37.5197,424.207,1022.33,52.0137,452.772,1219.24,50.6154,408.643,1460.33,-51.517,466.173,1348.62
16,0,37.801,425.311,1022.8,51.9303,452.319,1220.36,49.777,406.636,1461.11,-52.1752,464.673,1349.56
17,0,38.1666,426.476,1023.22,51.7417,451.849,1221.63,48.8629,404.442,1461.92,-52.8593,463.041,1350.49
18,0,38.5454,427.779,1023.62,51.6393,451.389,1222.91,47.8255,402.086,1462.79,-53.6016,461.306,1351.51
19,0,39.0019,429.27,1024.04,51.6266,451.023,1224.24,46.753,399.531,1463.7,-54.4142,459.456,1352.56
20,0,39.4888,430.79,1024.46,51.4772,450.37,1225.68,45.551,396.749,1464.63,-55.282,457.513,1353.61
21,0,40.0452,432.3,1024.87,51.4487,450.019,1227.24,44.2879,393.773,1465.61,-56.1867,455.393,1354.76
22,0,40.7069,433.854,1025.39,51.2809,449.322,1228.92,42.8814,390.636,1466.64,-57.1633,453.115,1355.96
23,0,41.3976,435.548,1025.96,51.1302,448.614,1230.7,41.4242,387.228,1467.64,-58.2069,450.631,1357.24
24,0,42.2032,437.283,1026.65,50.9704,448.06,1232.65,39.811,383.66,1468.67,-59.409,448.003,1358.56
25,0,43.0973,439.024,1027.41,50.8221,447.215,1234.66,38.0768,379.826,1469.61,-60.6945,445.201,1359.92
26,0,44.0025,440.876,1028.35,50.6033,446.49,1236.75,36.2289,375.756,1470.56,-62.1402,442.283,1361.23
27,0,45.0294,442.828,1029.32,50.3726,445.553,1238.8,34.2332,371.449,1471.36,-63.5833,439.084,1362.49
28,0,46.0812,444.912,1030.39,50.0768,444.661,1240.96,32.084,366.833,1472.08,-65.0935,435.754,1363.72
29,0,47.1621,447.229,1031.41,49.715,443.665,1243.27,29.8477,361.942,1472.68,-66.7931,432.327,1364.87
30,0,48.2902,449.631,1032.49,49.3383,442.826,1245.55,27.4664,356.737,1473.13,-68.4969,428.685,1365.89
31,0,49.4101,452.182,1033.52,48.8767,441.684,1247.85,24.9814,351.278,1473.38,-70.2896,424.81,1366.79
32,0,50.6608,454.936,1034.44,48.3588,440.77,1250.14,22.3876,345.489,1473.39,-72.2282,420.801,1367.55
33,0,51.8759,457.876,1035.34,47.8356,439.584,1252.36,19.674,339.457,1473.12,-74.2907,416.58,1368.07
34,0,53.1568,460.943,1036.14,47.193,438.183,1254.64,16.8949,333.117,1472.5,-76.3698,412.184,1368.34
35,0,54.4737,464.137,1036.85,46.5182,436.727,1256.77,14.0181,326.478,1471.51,-78.5335,407.516,1368.37
36,0,55.7144,467.429,1037.52,45.9627,435.309,1258.72,10.9939,319.579,1470.15,-80.7246,402.788,1368.13
37,0,57.0957,470.805,1038.16,45.3178,433.602,1260.56,7.99229,312.374,1468.29,-82.9182,397.782,1367.55
38,0,58.4707,474.283,1038.78,44.6282,431.676,1262.3,4.85908,304.867,1465.98,-85.0642,392.55,1366.62
39,0,59.8313,477.877,1039.37,43.9618,429.667,1263.92,1.69262,297.026,1463.11,-87.297,387.173,1365.35
40,0,61.2235,481.44,1040.01,43.3421,427.408,1265.38,-1.53922,288.992,1459.69,-89.5297,381.553,1363.63
41,0,62.6326,485.059,1040.56,42.6185,425.067,1266.7,-4.76531,280.653,1455.59,-91.8098,375.786,1361.47
42,0,63.9856,488.812,1041.19,41.9929,422.445,1267.69,-8.00377,272.135,1450.88,-94.0282,369.794,1358.79
43,0,65.378,492.574,1041.81,41.4285,419.702,1268.46,-11.1944,263.453,1445.52,-96.225,363.708,1355.6
44,0,66.8092,496.259,1042.38,40.9627,416.666,1268.84,-14.3738,254.694,1439.56,-98.4576,357.496,1351.9
45,0,68.1903,499.863,1042.87,40.4125,413.367,1268.82,-17.5261,245.812,1432.94,-100.677,351.203,1347.62
46,0,69.4739,503.341,1043.4,39.9243,409.784,1268.37,-20.8365,237.344,1426.05,-102.853,344.923,1342.82
47,0,70.7084,506.725,1043.86,39.3425,405.958,1267.53,-23.6652,228.255,1417.9,-104.956,338.558,1337.53
48,0,71.9027,509.912,1044.25,38.6748,401.862,1266.25,-26.5491,219.265,1409.08,-106.935,332.242,1331.69
49,0,72.8895,512.956,1044.63,37.9038,397.426,1264.41,-29.3398,210.397,1399.62,-108.825,325.792,1325.29
50,0,73.9024,515.701,1044.81,37.0457,392.88,1262.07,-32.0219,201.565,1389.56,-111.025,319.899,1318.61
51,0,74.6636,518.282,1044.82,35.9857,388.096,1259.07,-34.6766,192.806,1378.92,-112.746,313.332,1311.06
52,0,75.3003,520.671,1044.62,34.8041,383.226,1255.51,-37.1924,184.18,1367.72,-114.499,306.709,1303.06
53,0,75.8504,522.767,1044.25,33.5637,378.313,1251.51,-39.596,175.673,1356,-116.263,300.266,1294.65
54,0,76.3011,524.67,1043.84,32.3368,373.307,1247.11,-41.8278,167.354,1343.72,-118.037,293.754,1285.82
55,0,76.8017,526.387,1043.32,31.088,368.038,1242.23,-43.8738,159.2,1330.96,-119.735,287.325,1276.58
56,0,77.3153,527.813,1042.76,30.084,362.765,1237.22,-45.6829,151.225,1317.81,-121.262,280.961,1266.96
57,0,77.9668,529.079,1042.16,29.3363,357.236,1231.69,-47.2757,143.396,1304.26,-122.596,274.736,1257.06
58,0,78.6421,530.041,1041.43,28.3913,351.315,1225.74,-48.7472,135.801,1290.58,-123.771,268.642,1246.97
59,0,79.2921,530.788,1040.49,27.6888,345.842,1220,-49.9678,128.567,1276.59,-124.801,262.755,1236.57
60,0,80.059,531.336,1039.36,27.1879,340.169,1213.87,-51.0395,121.763,1262.4,-125.782,256.948,1226.09
61,0,80.7514,531.678,1037.99,26.3618,334.935,1207.63,-51.8166,115.278,1248.12,-126.714,251.388,1215.43
62,0,81.3978,531.861,1036.4,25.7461,329.591,1200.99,-52.8286,109.16,1233.95,-127.533,246.1,1204.71
63,0,81.8027,531.939,1034.6,25.1528,324.474,1194.08,-53.5804,103.439,1219.69,-128.381,241.122,1193.99
64,0,82.0401,531.844,1032.56,24.5137,319.622,1186.99,-54.2581,98.0627,1205.52,-129.187,236.498,1183.24
65,0,82.1156,531.598,1030.31,23.823,314.869,1179.72,-54.8285,93.0935,1191.51,-129.844,231.928,1172.28
