Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
50,0,-52.1722,470.137,1035.77,38.0534,327.816,1187.16,183.518,127.458,1269.95,31.6791,127.882,1242.51
51,0,-51.5696,471.844,1033.69,40.6372,325.418,1181.71,187.302,123.235,1256.53,35.3008,123.605,1231.24
52,0,-50.8224,473.492,1031.42,43.2466,322.962,1176.06,190.875,119.136,1243.14,38.7604,119.446,1220.07
53,0,-49.8698,475.014,1029.03,45.9212,320.534,1170.24,194.332,115.224,1229.73,42.0982,115.351,1208.92
54,0,-48.8611,476.393,1026.62,48.5982,318.039,1164.34,197.613,111.548,1216.42,45.389,111.315,1197.85
55,0,-47.813,477.531,1024.18,51.3187,315.566,1158.31,200.754,108.093,1203.24,48.4896,107.609,1186.93
56,0,-46.8067,478.385,1021.82,53.9857,313.142,1152.28,203.713,104.82,1190.17,51.4766,104.091,1176.09
57,0,-45.8251,479.045,1019.53,56.5967,310.826,1146.27,206.498,101.777,1177.28,54.3036,100.889,1165.34
58,0,-44.9585,479.479,1017.37,59.134,308.446,1140.41,209.175,98.9072,1164.61,56.9269,97.8449,1154.74
59,0,-44.1734,479.726,1015.31,61.6192,306.056,1134.82,211.685,96.1415,1152.13,59.4871,94.8746,1144.3
60,0,-43.5218,479.851,1013.39,64.0149,303.599,1129.44,214.112,93.5646,1139.9,62.0537,91.9864,1134.13
61,0,-42.7996,479.886,1011.59,66.5058,301.092,1124.05,216.517,91.0685,1127.92,64.4788,89.2455,1124.38
62,0,-42.0571,479.865,1009.92,68.9834,298.663,1118.89,218.784,88.6594,1116.29,66.8987,86.492,1115.05
63,0,-41.2592,479.737,1008.34,71.5568,296.288,1113.76,220.907,86.406,1105.04,68.8703,83.6613,1106.17
64,0,-40.3356,479.491,1006.9,73.9598,294.001,1108.65,223.008,84.3516,1094.19,71.3272,81.272,1096.71
