Segments
100
,,Ben_Johnston:Lower,,,,,,Ben_Johnston:Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
48,0,142.761,-12.5153,1023.38,138.15,-13.9339,1197.79,159.219,-19.3428,1421.66,136.828,106.672,1420.2
49,0,142.725,-12.5337,1023.39,138.085,-13.9498,1197.78,159.184,-19.3434,1421.66,136.8,106.675,1420.17
50,0,142.674,-12.5194,1023.41,138.036,-13.9607,1197.79,159.149,-19.3839,1421.66,136.725,106.678,1420.17
51,0,142.619,-12.5122,1023.42,137.971,-13.9365,1197.79,159.081,-19.3993,1421.66,136.671,106.69,1420.14
52,0,142.539,-12.5236,1023.43,137.921,-13.9473,1197.79,159.028,-19.397,1421.65,136.621,106.683,1420.14
53,0,142.453,-12.5057,1023.43,137.851,-13.9405,1197.79,158.96,-19.4089,1421.64,136.569,106.696,1420.12
54,0,142.399,-12.4943,1023.43,137.784,-13.9608,1197.8,158.893,-19.3998,1421.63,136.524,106.694,1420.1
55,0,142.317,-12.5057,1023.45,137.732,-13.9843,1197.79,158.821,-19.4308,1421.6,136.464,106.672,1420.08
56,0,142.264,-12.4946,1023.45,137.66,-14.0192,1197.78,158.786,-19.4675,1421.61,136.437,106.657,1420.07
57,0,142.196,-12.5174,1023.46,137.593,-14.057,1197.81,158.719,-19.5079,1421.62,136.399,106.62,1420.07
58,0,142.094,-12.5283,1023.49,137.528,-14.0749,1197.81,158.65,-19.554,1421.65,136.318,106.584,1420.08
59,0,142.002,-12.5403,1023.5,137.456,-14.1143,1197.82,158.58,-19.6025,1421.66,136.267,106.543,1420.08
60,0,141.94,-12.5338,1023.52,137.387,-14.1512,1197.83,158.543,-19.6886,1421.65,136.19,106.463,1420.09
61,0,141.868,-12.5396,1023.53,137.31,-14.2055,1197.83,158.474,-19.7159,1421.65,136.158,106.432,1420.09
62,0,141.781,-12.5415,1023.51,137.21,-14.2006,1197.82,158.404,-19.7884,1421.67,136.116,106.388,1420.07
63,0,141.685,-12.5568,1023.53,137.159,-14.2214,1197.83,158.319,-19.8228,1421.64,136.061,106.368,1420.08
64,0,141.578,-12.5683,1023.52,137.073,-14.2463,1197.82,158.249,-19.8887,1421.65,135.98,106.305,1420.09
65,0,141.476,-12.6017,1023.53,136.985,-14.2907,1197.83,158.195,-19.9055,1421.64,135.931,106.243,1420.12
66,0,141.388,-12.6087,1023.54,136.879,-14.3118,1197.84,158.106,-19.988,1421.62,135.852,106.208,1420.11
67,0,141.284,-12.6425,1023.54,136.809,-14.3479,1197.83,158.036,-20.0231,1421.63,135.825,106.163,1420.11
68,0,141.198,-12.6448,1023.52,136.707,-14.3987,1197.81,157.983,-20.0813,1421.61,135.768,106.119,1420.08
69,0,141.091,-12.6595,1023.53,136.616,-14.4038,1197.78,157.929,-20.1252,1421.58,135.743,106.075,1420.06
70,0,141.023,-12.6578,1023.55,136.529,-14.4438,1197.78,157.878,-20.1684,1421.58,135.708,106.041,1420.08
71,0,140.918,-12.6568,1023.56,136.44,-14.4506,1197.78,157.808,-20.1996,1421.57,135.66,106.01,1420.07
72,0,140.8,-12.6444,1023.58,136.338,-14.4826,1197.78,157.737,-20.2354,1421.55,135.608,105.974,1420.08
73,0,140.689,-12.6868,1023.58,136.253,-14.4741,1197.78,157.684,-20.2974,1421.56,135.573,105.94,1420.1
74,0,140.588,-12.6808,1023.59,136.16,-14.4965,1197.76,157.633,-20.3143,1421.56,135.55,105.925,1420.1
75,0,140.469,-12.6903,1023.61,136.069,-14.5044,1197.76,157.58,-20.3693,1421.53,135.526,105.884,1420.08
76,0,140.345,-12.7133,1023.6,135.974,-14.5158,1197.77,157.493,-20.3867,1421.5,135.501,105.841,1420.04
77,0,140.238,-12.7294,1023.62,135.899,-14.5363,1197.77,157.441,-20.4019,1421.5,135.418,105.802,1420.07
78,0,140.118,-12.7743,1023.63,135.828,-14.5738,1197.76,157.369,-20.4376,1421.48,135.412,105.763,1420.07
79,0,139.999,-12.7778,1023.65,135.707,-14.5822,1197.76,157.3,-20.4716,1421.48,135.363,105.703,1420.06
80,0,139.862,-12.789,1023.65,135.618,-14.6246,1197.74,157.233,-20.5171,1421.47,135.357,105.67,1420.08
81,0,139.74,-12.79,1023.64,135.478,-14.6534,1197.74,157.16,-20.5475,1421.45,135.33,105.602,1420.04
82,0,139.62,-12.77,1023.66,135.378,-14.644,1197.75,157.095,-20.5911,1421.46,135.298,105.572,1420.04
83,0,139.517,-12.769,1023.67,135.268,-14.6788,1197.75,156.97,-20.6482,1421.45,135.25,105.511,1420.03
84,0,139.43,-12.7531,1023.65,135.164,-14.7207,1197.75,156.886,-20.6632,1421.47,135.191,105.433,1420.06
85,0,139.311,-12.7428,1023.63,135.058,-14.7328,1197.75,156.818,-20.7272,1421.45,135.159,105.404,1420.05
86,0,139.238,-12.7483,1023.63,134.988,-14.7633,1197.75,156.733,-20.7643,1421.45,135.111,105.344,1420.05
87,0,139.137,-12.7431,1023.63,134.917,-14.7648,1197.75,156.665,-20.7989,1421.44,135.084,105.299,1420.05
88,0,139.016,-12.7505,1023.63,134.814,-14.7602,1197.75,156.58,-20.8259,1421.43,135.03,105.252,1420.05
89,0,138.941,-12.7656,1023.65,134.727,-14.8002,1197.75,156.522,-20.8774,1421.43,135.026,105.198,1420.05
90,0,138.838,-12.7648,1023.65,134.642,-14.7852,1197.73,156.439,-20.8795,1421.42,135.008,105.165,1420.05
91,0,138.752,-12.7565,1023.64,134.54,-14.8141,1197.73,156.386,-20.9226,1421.4,134.976,105.132,1420.07
92,0,138.65,-12.7509,1023.64,134.486,-14.803,1197.73,156.3,-20.9299,1421.39,134.946,105.102,1420.07
93,0,138.562,-12.7573,1023.64,134.414,-14.8053,1197.72,156.266,-20.9417,1421.38,134.924,105.062,1420.04
94,0,138.476,-12.7404,1023.63,134.365,-14.8265,1197.72,156.211,-20.9638,1421.38,134.923,105.062,1420.04
95,0,138.373,-12.7325,1023.6,134.302,-14.7879,1197.72,156.16,-20.9607,1421.38,134.905,105.03,1420.03
96,0,138.305,-12.7502,1023.6,134.247,-14.8125,1197.69,156.112,-20.9614,1421.39,134.894,105.012,1420.05
97,0,138.237,-12.7394,1023.59,134.175,-14.8143,1197.7,156.074,-20.9848,1421.37,134.87,104.996,1420.05
98,0,138.154,-12.7067,1023.58,134.121,-14.8043,1197.69,156.04,-20.994,1421.35,134.849,105.009,1420.03
99,0,138.067,-12.6907,1023.56,134.073,-14.8109,1197.67,155.986,-20.9918,1421.34,134.84,104.996,1420.02
100,0,138.001,-12.706,1023.57,133.989,-14.7988,1197.66,155.954,-20.9667,1421.32,134.82,104.985,1420
101,0,137.957,-12.669,1023.56,133.935,-14.7844,1197.65,155.921,-20.952,1421.32,134.82,104.985,1420
102,0,137.871,-12.6516,1023.55,133.892,-14.7747,1197.65,155.868,-20.9468,1421.3,134.769,104.979,1419.99
103,0,137.809,-12.6242,1023.54,133.85,-14.7746,1197.64,155.849,-20.9758,1421.32,134.772,104.977,1419.97
104,0,137.753,-12.6041,1023.54,133.806,-14.7663,1197.63,155.816,-20.9456,1421.28,134.746,104.989,1419.98
105,0,137.711,-12.5944,1023.53,133.757,-14.7309,1197.64,155.798,-20.9636,1421.28,134.746,104.99,1419.97
106,0,137.652,-12.5653,1023.53,133.716,-14.7305,1197.64,155.765,-20.9495,1421.28,134.74,105.002,1419.96
107,0,137.584,-12.5421,1023.53,133.64,-14.7152,1197.63,155.734,-20.9126,1421.26,134.695,105,1419.94
108,0,137.53,-12.5154,1023.52,133.602,-14.7012,1197.61,155.713,-20.9255,1421.25,134.694,105,1419.94
109,0,137.478,-12.5029,1023.53,133.573,-14.6946,1197.6,155.697,-20.9,1421.26,134.713,105.033,1419.95
110,0,137.469,-12.4754,1023.53,133.525,-14.6662,1197.61,155.685,-20.8491,1421.24,134.689,105.043,1419.95
111,0,137.415,-12.464,1023.53,133.498,-14.6442,1197.61,155.649,-20.8485,1421.26,134.694,105.054,1419.97
112,0,137.394,-12.4341,1023.54,133.463,-14.605,1197.61,155.613,-20.8309,1421.27,134.659,105.076,1419.96
113,0,137.359,-12.4206,1023.53,133.457,-14.5872,1197.59,155.601,-20.7771,1421.24,134.658,105.074,1419.95
114,0,137.359,-12.4175,1023.5,133.425,-14.5456,1197.57,155.618,-20.7587,1421.24,134.687,105.123,1419.96
115,0,137.344,-12.3728,1023.51,133.448,-14.5121,1197.56,155.62,-20.7402,1421.24,134.666,105.134,1419.94
116,0,137.309,-12.347,1023.52,133.428,-14.4846,1197.57,155.604,-20.7147,1421.25,134.687,105.175,1419.96
117,0,137.288,-12.3192,1023.51,133.431,-14.4332,1197.55,155.602,-20.6719,1421.24,134.678,105.19,1419.95
118,0,137.279,-12.2917,1023.51,133.45,-14.3877,1197.55,155.62,-20.6752,1421.22,134.736,105.219,1419.88
119,0,137.277,-12.2464,1023.49,133.469,-14.3594,1197.54,155.655,-20.6614,1421.21,134.714,105.282,1419.87
120,0,137.277,-12.2107,1023.47,133.465,-14.3355,1197.53,155.642,-20.5893,1421.2,134.691,105.318,1419.9
121,0,137.307,-12.2107,1023.46,133.481,-14.2847,1197.52,155.644,-20.5282,1421.23,134.713,105.362,1419.9
122,0,137.308,-12.1577,1023.44,133.486,-14.2724,1197.53,155.66,-20.493,1421.23,134.704,105.402,1419.89
123,0,137.328,-12.1403,1023.43,133.506,-14.2471,1197.54,155.694,-20.4706,1421.23,134.68,105.442,1419.86
124,0,137.311,-12.1001,1023.44,133.501,-14.2295,1197.54,155.679,-20.4267,1421.24,134.713,105.472,1419.85
125,0,137.334,-12.0712,1023.44,133.536,-14.2115,1197.54,155.699,-20.4072,1421.25,134.68,105.496,1419.85
126,0,137.354,-12.0065,1023.42,133.559,-14.1782,1197.52,155.735,-20.3692,1421.27,134.661,105.538,1419.84
127,0,137.372,-11.9583,1023.43,133.591,-14.1317,1197.54,155.737,-20.3508,1421.27,134.684,105.58,1419.86
128,0,137.384,-11.9283,1023.43,133.626,-14.1135,1197.54,155.757,-20.3142,1421.27,134.663,105.593,1419.84
129,0,137.41,-11.8787,1023.42,133.627,-14.0714,1197.55,155.79,-20.2914,1421.27,134.651,105.657,1419.87
130,0,137.424,-11.836,1023.41,133.664,-14.0377,1197.55,155.795,-20.2302,1421.27,134.654,105.716,1419.84
131,0,137.448,-11.8026,1023.39,133.683,-13.9901,1197.55,155.847,-20.2115,1421.24,134.691,105.725,1419.82
132,0,137.46,-11.7805,1023.39,133.713,-13.9525,1197.54,155.864,-20.1681,1421.23,134.694,105.779,1419.83
133,0,137.482,-11.7509,1023.39,133.732,-13.9242,1197.53,155.9,-20.1276,1421.23,134.687,105.822,1419.81
134,0,137.462,-11.7218,1023.4,133.762,-13.8857,1197.52,155.918,-20.1084,1421.23,134.686,105.873,1419.83
135,0,137.486,-11.6955,1023.43,133.796,-13.8753,1197.5,155.97,-20.0506,1421.2,134.71,105.917,1419.82
136,0,137.482,-11.6737,1023.42,133.813,-13.826,1197.48,156.005,-20.0098,1421.21,134.718,105.96,1419.8
137,0,137.486,-11.658,1023.42,133.828,-13.7797,1197.48,156.025,-19.9724,1421.2,134.719,106.012,1419.78
138,0,137.511,-11.6247,1023.4,133.852,-13.7463,1197.46,156.079,-19.9097,1421.18,134.693,106.048,1419.78
139,0,137.521,-11.6022,1023.39,133.885,-13.6951,1197.46,156.129,-19.8508,1421.17,134.72,106.069,1419.76
140,0,137.523,-11.5801,1023.39,133.898,-13.6507,1197.46,156.133,-19.7908,1421.19,134.722,106.124,1419.76
141,0,137.527,-11.5644,1023.39,133.92,-13.622,1197.43,156.183,-19.7291,1421.17,134.742,106.19,1419.76
142,0,137.545,-11.5515,1023.39,133.938,-13.6099,1197.44,156.222,-19.6863,1421.16,134.797,106.212,1419.72
