Joints
100
,,Ben_Johnston:World_Lower,,,,,,Ben_Johnston:World_Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Segments
100
,,Ben_Johnston:Lower,,,,,,Ben_Johnston:Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,165.161,-33.803,1014.21,154.803,-32.3146,1181.81,179.193,-34.328,1397.52,158.382,96.6574,1396.52
2,0,165.404,-33.9748,1014.45,154.71,-32.4981,1182.06,178.762,-34.5934,1397.86,157.887,96.3136,1396.9
3,0,165.622,-34.1659,1014.64,154.643,-32.7355,1182.31,178.275,-34.9004,1398.15,157.698,96.1558,1397.12
4,0,165.927,-34.3776,1014.73,154.551,-32.9155,1182.51,177.803,-35.216,1398.4,157.427,95.8904,1397.36
5,0,166.246,-34.6238,1014.72,154.44,-33.1581,1182.71,177.339,-35.4755,1398.61,157.174,95.6827,1397.57
6,0,166.559,-34.8542,1014.7,154.337,-33.373,1182.88,176.91,-35.7602,1398.84,156.811,95.367,1397.94
7,0,166.858,-35.0675,1014.65,154.276,-33.5943,1183.03,176.498,-35.9919,1399.03,156.659,95.2162,1398.01
8,0,167.078,-35.3164,1014.62,154.211,-33.808,1183.18,176.052,-36.2834,1399.26,156.425,94.9764,1398.2
9,0,167.225,-35.552,1014.62,154.094,-33.9833,1183.3,175.659,-36.534,1399.45,156.245,94.7495,1398.37
10,0,167.327,-35.7537,1014.64,154.002,-34.1513,1183.4,175.33,-36.7637,1399.65,156.073,94.5363,1398.53
11,0,167.358,-36.0028,1014.67,153.893,-34.3582,1183.52,174.895,-37.0458,1399.8,155.817,94.292,1398.51
12,0,167.405,-36.213,1014.7,153.754,-34.5731,1183.58,174.479,-37.3156,1399.95,155.726,94.0657,1398.85
13,0,167.425,-36.4208,1014.7,153.582,-34.7864,1183.68,174.119,-37.542,1400.08,155.495,93.7913,1398.96
14,0,167.472,-36.5956,1014.71,153.403,-34.97,1183.78,173.699,-37.7609,1400.23,155.265,93.5972,1399.09
15,0,167.551,-36.7815,1014.72,153.208,-35.1665,1183.87,173.284,-37.9885,1400.41,154.996,93.3408,1399.28
16,0,167.649,-36.9189,1014.79,153.017,-35.3363,1183.99,172.815,-38.2465,1400.63,154.79,93.1945,1399.46
17,0,167.749,-37.0865,1014.85,152.822,-35.4935,1184.14,172.331,-38.4621,1400.84,154.389,92.9312,1399.7
