Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,40.5916,436.46,1022.15,47.3864,473.418,1214.3,40.6413,433.933,1459.97,-60.665,478.013,1343.11
2,0,40.4829,436.674,1022.52,47.1125,473.341,1214.58,40.2878,433.688,1460.16,-61.044,477.531,1343.26
3,0,40.3372,436.961,1022.89,46.6735,473.297,1214.88,39.866,433.423,1460.42,-61.5832,476.971,1343.47
4,0,40.1028,437.405,1023.17,46.1383,473.375,1215.32,39.3037,433.094,1460.67,-62.2161,476.231,1343.72
5,0,39.774,438.059,1023.42,45.458,473.459,1215.87,38.6971,432.735,1460.96,-63,475.384,1344.05
6,0,39.4069,438.723,1023.6,44.6812,473.592,1216.36,37.9742,432.286,1461.27,-63.9321,474.456,1344.43
7,0,38.9152,439.559,1023.77,43.7868,473.793,1216.88,37.1898,431.832,1461.58,-65.0255,473.426,1344.77
8,0,38.3824,440.405,1023.88,42.6727,473.948,1217.43,36.2452,431.344,1461.86,-66.2221,472.171,1345.09
9,0,37.8666,441.238,1024,41.4458,474.128,1217.88,35.2249,430.837,1462.13,-67.5924,470.826,1345.41
10,0,37.3013,442.005,1024.13,40.1122,474.2,1218.26,34.1597,430.244,1462.4,-69.1318,469.275,1345.79
11,0,36.5979,442.719,1024.32,38.5905,474.204,1218.74,32.9409,429.626,1462.66,-70.7496,467.461,1346.13
12,0,35.8028,443.264,1024.52,36.8498,474.234,1219.2,31.6805,428.956,1462.9,-72.5704,465.545,1346.44
13,0,34.8416,443.84,1024.73,34.9602,474.181,1219.63,30.3111,428.203,1463.14,-74.4128,463.353,1346.71
14,0,33.6686,444.334,1024.98,32.8337,474.163,1220.08,28.8201,427.351,1463.41,-76.4221,460.959,1347
15,0,32.2875,444.8,1025.25,30.4949,473.989,1220.54,27.2596,426.467,1463.63,-78.5579,458.346,1347.29
16,0,30.7801,445.223,1025.51,27.9863,473.835,1220.89,25.6169,425.533,1463.84,-80.8598,455.591,1347.61
17,0,29.1141,445.646,1025.74,25.3667,473.61,1221.26,23.9171,424.548,1464.03,-83.1886,452.478,1347.89
18,0,27.2745,446.057,1025.93,22.5426,473.303,1221.67,22.0854,423.412,1464.2,-85.6245,449.166,1348.16
19,0,25.3163,446.477,1026.1,19.4942,472.807,1222.12,20.1919,422.309,1464.42,-88.1896,445.513,1348.42
20,0,23.2734,446.738,1026.29,16.3532,472.127,1222.48,18.0118,421.234,1464.68,-90.906,441.902,1348.7
21,0,21.0575,446.936,1026.46,13.0719,471.23,1222.81,15.2023,420.965,1465.16,-94.8247,440.225,1349.13
